combined_rank,division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
2307,161,Gustav,Bergenstråle,mtnbeam,SWE,Pistol Caliber Carbine,7.86,28.93,25.04,-46.18,2,12.82
2308,791,Carl,Lundström,,SWE,Production,7.86,22.91,17.89,-30.75,9,13.3
2309,792,Johan,Carlsson,conza,SWE,Production,7.85,24.3,19.54,-34.32,9,13.29
2310,499,Martin,Iversen,,SWE,Production Optics,7.85,23.38,18.45,-31.97,8,10.71
2311,162,Jens,Vörman,,SWE,Pistol Caliber Carbine,7.85,31.31,27.88,-52.32,1,12.81
2312,465,Allan,Bergman,dosch,SWE,Standard,7.85,29.01,25.14,-46.42,3,17.18
2313,466,Robert,Tennisberg,rangerrob,SWE,Standard,7.85,23.4,18.48,-32.05,8,17.18
2314,793,Joakim,Carmesten,jullethecrow,SWE,Production,7.84,23.86,19.03,-33.24,14,13.28
2315,467,Per,Mellström,mellstrom,SWE,Standard,7.84,23.95,19.14,-33.48,8,17.17
2316,794,Peter,Blomqvist,pbq,SWE,Production,7.83,24.25,19.51,-34.29,8,13.25
2317,296,Peter,Freed,freed,SWE,Open,7.83,24.08,19.31,-33.85,7,9.05
2318,795,Gabriel,Popov,flamman,SWE,Production,7.83,22.74,17.72,-30.43,18,13.25
2319,500,Tomas,Aronsson,,SWE,Production Optics,7.82,24.78,20.15,-35.67,6,10.67
2320,796,Jan Åke,Fonnaland,farbrorstark,SWE,Production,7.82,25.24,20.69,-36.84,7,13.24
2321,501,Patrik,Andersen,,SWE,Production Optics,7.82,29.19,25.39,-46.98,2,10.66
2322,502,Andreas,Frank,frank,SWE,Production Optics,7.82,24.33,19.62,-34.53,7,10.66
2323,163,Toni,Celan,tonic,SWE,Pistol Caliber Carbine,7.82,26.28,21.94,-39.53,4,12.75
2324,468,Mikael,Palmgren,mrp,SWE,Standard,7.82,23.28,18.37,-31.84,11,17.11
2325,469,Torbjörn,Renbäck,,SWE,Standard,7.81,24.4,19.71,-34.73,13,17.1
2326,797,Anders,Baer,,SWE,Production,7.81,25.49,21.0,-37.52,7,13.22
2327,798,Robert,Jemdahl,redrob,SWE,Production,7.81,22.81,17.83,-30.67,11,13.22
2328,503,Filip,F,filip21,SWE,Production Optics,7.8,30.81,27.33,-51.19,1,10.64
2329,504,Robert,Pettersson,,SWE,Production Optics,7.8,23.76,18.96,-33.12,8,10.64
2330,799,Anders,Hasslinger,,SWE,Production,7.8,22.4,17.35,-29.64,10,13.2
2331,505,Stefan,Ånelöf,,SWE,Production Optics,7.79,22.92,17.98,-31.02,8,10.62
2332,506,Carl,Schultze,schultze,SWE,Production Optics,7.79,27.69,23.64,-43.25,2,10.62
2333,297,Mattias,Wrande,,SWE,Open,7.78,25.73,21.33,-38.25,5,9.0
2334,800,Christofer,Björkvall,jcb,SWE,Production,7.78,25.15,20.64,-36.76,7,13.17
2335,801,Anders,Thustrup,abthustrup,SWE,Production,7.78,22.86,17.93,-30.92,7,13.16
2336,802,Olle,R,grasshopper,SWE,Production,7.77,24.09,19.39,-34.09,7,13.15
2337,803,Fredrik,Andersson,krueger,SWE,Production,7.76,21.96,16.86,-28.63,13,13.14
2338,21,Per,Telg,ipscper,SWE,Revolver,7.76,23.4,18.58,-32.34,11,41.2
2339,804,Michael,Matèrn,,SWE,Production,7.75,23.24,18.4,-31.97,8,13.13
2340,507,Peter,Slättersjö,dumbswede,SWE,Production Optics,7.75,25.17,20.7,-36.92,5,10.57
2341,164,Hans,Jarosch,,SWE,Pistol Caliber Carbine,7.75,24.63,20.06,-35.55,7,12.64
2342,508,Oscar,Krook,platemate,SWE,Production Optics,7.75,24.31,19.68,-34.73,6,10.56
2343,470,Henrik,Ryhle,,SWE,Standard,7.74,25.64,21.26,-38.15,6,16.95
2344,805,Maria,Assenhöj,,SWE,Production,7.74,25.21,20.76,-37.07,6,13.11
2345,471,Tarmo,Kopakka,,SWE,Standard,7.74,23.39,18.59,-32.4,12,16.94
2346,472,Erik,Ljunggren,erix,SWE,Standard,7.74,23.87,19.17,-33.64,13,16.94
2347,509,Björn,Schedwin,goboy,SWE,Production Optics,7.73,24.78,20.25,-35.98,6,10.55
2348,510,Misel,Ivic,missla,SWE,Production Optics,7.73,23.34,18.55,-32.3,8,10.55
2349,473,Richard,Rosvall,riro,SWE,Standard,7.73,24.53,19.96,-35.36,14,16.91
2350,806,Linnéa,Berg,,SWE,Production,7.72,24.77,20.26,-36.0,8,13.08
2351,511,Johannes,Vesterlund,,SWE,Production Optics,7.72,23.1,18.27,-31.7,10,10.53
2352,474,Stefan,Unknown,fenrisulven,SWE,Standard,7.72,24.84,20.34,-36.18,7,16.9
2353,475,micke,wessman,bigflash,SWE,Standard,7.72,21.11,15.91,-26.62,13,16.9
2354,807,Jens,Vörman,,SWE,Production,7.72,24.78,20.28,-36.05,7,13.06
2355,476,Torbjörn,Fransson,,SWE,Standard,7.71,20.6,15.32,-25.35,18,16.88
2356,477,Christofer,Molén,molle,SWE,Standard,7.71,24.69,20.17,-35.83,9,16.88
2357,808,Mathias,Holmgren,,SWE,Production,7.71,23.69,18.99,-33.29,9,13.05
2358,809,Jonas,Lindegren,,SWE,Production,7.7,23.74,19.05,-33.41,12,13.04
2359,810,Andreas,Johanson,,SWE,Production,7.7,23.33,18.57,-32.39,13,13.04
2360,811,Stefan,Hög,stif2000,SWE,Production,7.7,23.65,18.95,-33.21,9,13.03
2361,512,Jonnie,Borg,jonnie,SWE,Production Optics,7.7,25.26,20.87,-37.35,6,10.5
2362,478,Jon,Essebro,joness,SWE,Standard,7.7,24.93,20.48,-36.51,6,16.85
2363,812,Gustav,Malmqvist,sludaente,SWE,Production,7.69,25.87,21.61,-38.95,4,13.02
2364,165,Glenn,Vennberg,baraglenn,SWE,Pistol Caliber Carbine,7.69,24.27,19.71,-34.86,6,12.54
2365,479,Timmy,Davidsson,,SWE,Standard,7.68,21.94,16.94,-28.88,13,16.82
2366,513,Tomas,Lundgren,lunkan01,SWE,Production Optics,7.68,23.39,18.66,-32.6,11,10.47
2367,166,Dennis,Andersson,dempa,SWE,Pistol Caliber Carbine,7.68,26.3,22.13,-40.08,5,12.53
2368,514,Fredrik,Lindblad,fastman666,SWE,Production Optics,7.68,26.99,22.95,-41.86,4,10.47
2369,813,Pontus,Forsling Ingvarsson,pappawick,SWE,Production,7.68,24.55,20.05,-35.59,7,13.0
2370,814,Mathias,Nilsson,,SWE,Production,7.67,21.1,15.95,-26.76,15,12.99
2371,815,Linus,Wolter,linusw,SWE,Production,7.67,24.36,19.83,-35.14,7,12.98
2372,816,Tommy,Jarmuszewski,tuppa,SWE,Production,7.66,23.57,18.9,-33.13,12,12.98
2373,480,Jörgen,Eriksson,twoalpha,SWE,Standard,7.66,25.26,20.91,-37.47,7,16.78
2374,481,Claes,Nyberg,kalops,SWE,Standard,7.66,24.53,20.04,-35.6,11,16.78
2375,817,Mattias,Karlsson,327karlsson,SWE,Production,7.66,24.47,19.97,-35.45,9,12.97
2376,482,Jimmy,Mård,jimmy,SWE,Standard,7.66,24.72,20.27,-36.1,6,16.77
2377,818,Nicklas,Ringqvist,,SWE,Production,7.66,23.98,19.39,-34.19,9,12.97
2378,515,Jonathan,Heine,jnov,SWE,Production Optics,7.65,27.06,23.07,-42.15,3,10.43
2379,819,Andreas,Granberg,roadrunner,SWE,Production,7.65,29.16,25.56,-47.52,4,12.95
2380,820,Erik,Götblad,,SWE,Production,7.64,22.7,17.89,-30.96,11,12.94
2381,516,Malte,Nordin,,SWE,Production Optics,7.64,24.72,20.29,-36.14,6,10.42
2382,517,Carl,Plöen,,SWE,Production Optics,7.64,24.63,20.18,-35.92,7,10.42
2383,821,Tomas,Linvall,,SWE,Production,7.64,23.51,18.85,-33.04,8,12.94
2384,298,Max,Karlsson,maxhunter365,SWE,Open,7.64,21.09,15.98,-26.85,14,8.84
2385,483,Tord,Sivén,,SWE,Standard,7.64,23.49,18.84,-33.02,12,16.72
2386,80,Magnus,Johansson,sigsauer,SWE,Classic,7.62,31.31,28.14,-53.12,2,25.78
2387,518,Tobias,Söderberg,,SWE,Production Optics,7.62,24.3,19.82,-35.16,5,10.39
2388,484,Joakim,Mellberg,,SWE,Standard,7.62,23.95,19.41,-34.28,10,16.68
2389,519,Anders,Granhagen,,SWE,Production Optics,7.61,25.0,20.65,-36.96,7,10.38
2390,520,Bjarne,Esphagen,,SWE,Production Optics,7.61,25.7,21.49,-38.76,4,10.38
2391,521,peder,svedsten,bishop,SWE,Production Optics,7.6,24.89,20.54,-36.74,5,10.37
2392,822,Freda,Peterson,,SWE,Production,7.6,23.17,18.5,-32.33,12,12.87
2393,522,Linus,Hagstedt,linush,SWE,Production Optics,7.6,25.9,21.74,-39.32,4,10.37
2394,485,Jonathan,Bergendahl,,SWE,Standard,7.59,23.15,18.48,-32.3,9,16.62
2395,823,Erik,Källman,psycho8141,SWE,Production,7.59,24.32,19.88,-35.31,11,12.85
2396,81,Johan,Heidenfors,johhei,SWE,Classic,7.59,23.51,18.91,-33.24,12,25.66
2397,523,Markus,Lindström,recoil,SWE,Production Optics,7.59,25.61,21.41,-38.63,6,10.35
2398,486,Elias,Bouvin,,SWE,Standard,7.59,25.6,21.4,-38.61,5,16.61
2399,22,Magnus,Flodström,,SWE,Revolver,7.58,20.49,15.33,-25.52,27,40.23
2400,824,Robert,Hansson,robban,SWE,Production,7.58,22.81,18.1,-31.48,11,12.82
2401,825,Fredrik,Abrahamsson,abra,SWE,Production,7.57,24.06,19.59,-34.72,10,12.81
2402,826,Per-Erik,Myrstrand,,SWE,Production,7.57,24.97,20.67,-37.05,9,12.81
2403,827,Albert,Söderberg,,SWE,Production,7.56,23.65,19.12,-33.7,10,12.8
2404,828,Magne,Ullenius,,SWE,Production,7.56,24.14,19.71,-34.98,8,12.79
2405,487,Fredrik,Degerfeldt,degen,SWE,Standard,7.55,23.37,18.79,-33.01,10,16.54
2406,829,Gordon,Ahlberg,,SWE,Production,7.55,24.47,20.1,-35.83,7,12.79
2407,830,Johan,Karlsson,,SWE,Production,7.55,23.84,19.36,-34.23,9,12.78
2408,488,jimmy,thörnberg,,SWE,Standard,7.55,23.36,18.79,-33.01,12,16.52
2409,524,Joakim,Östby,ostby228,SWE,Production Optics,7.54,26.5,22.53,-41.1,3,10.28
2410,489,Niklas,Rönnholm,,SWE,Standard,7.54,23.87,19.4,-34.34,8,16.5
2411,831,Sebastian,Karlsson,,SWE,Production,7.54,24.85,20.57,-36.87,5,12.76
2412,490,Claes,Nilsson,ice413,SWE,Standard,7.54,24.49,20.15,-35.96,12,16.5
2413,525,Jimmy,Andersson,jimmboo,SWE,Production Optics,7.53,26.31,22.31,-40.61,3,10.27
2414,832,Peter,Åberg,peter,SWE,Production,7.53,26.08,22.05,-40.06,9,12.74
2415,833,Jacob,Henriksson,h2o,SWE,Production,7.53,23.37,18.82,-33.1,8,12.74
2416,834,Lars,Gullers,,SWE,Production,7.53,23.53,19.01,-33.51,8,12.74
2417,526,Nicke,Höckerbo,,SWE,Production Optics,7.52,23.38,18.84,-33.13,8,10.26
2418,835,Kev,NotKnown,kevno,SWE,Production,7.52,24.53,20.21,-36.1,7,12.74
2419,836,Tommy,Grönberg,,SWE,Production,7.52,23.21,18.65,-32.73,11,12.73
2420,491,Kjetil,Larsen,crazykjetil,SWE,Standard,7.52,25.07,20.86,-37.5,9,16.46
2421,167,Joel,Arabäck,joel,SWE,Pistol Caliber Carbine,7.52,25.63,21.52,-38.93,4,12.26
2422,837,Adrian,H,,SWE,Production,7.52,25.7,21.6,-39.12,5,12.72
2423,492,Magnus,Borgenstrand,bounty,SWE,Standard,7.51,24.92,20.68,-37.12,8,16.45
2424,168,Freddan,Lif,freddan,SWE,Pistol Caliber Carbine,7.51,25.27,21.11,-38.04,5,12.25
2425,838,Joel,Herzwall,,SWE,Production,7.51,26.44,22.49,-41.02,4,12.72
2426,839,Jan,Karlsson,,SWE,Production,7.51,23.84,19.4,-34.37,7,12.72
2427,493,Peter,Lönning,quizze,SWE,Standard,7.5,24.8,20.55,-36.87,10,16.42
2428,840,Joel,Lindström,,SWE,Production,7.5,25.09,20.9,-37.61,7,12.69
2429,494,Håkan,Spuhr,,SWE,Standard,7.5,23.95,19.55,-34.71,9,16.42
2430,299,Mikael,Landstedt,mightymike,SWE,Open,7.49,32.0,29.12,-55.36,2,8.67
2431,841,Jens,Sandberg,,SWE,Production,7.49,31.25,28.23,-53.44,2,12.68
2432,527,Henrik,Tollmar,,SWE,Production Optics,7.49,26.07,22.08,-40.16,4,10.21
2433,842,Jonas,Åström,,SWE,Production,7.49,23.65,19.2,-33.96,9,12.68
2434,843,Tobias,Hårdén,,SWE,Production,7.49,20.8,15.82,-26.65,14,12.67
2435,528,Mikael,Kuisma,kuisma,SWE,Production Optics,7.48,24.74,20.5,-36.77,5,10.2
2436,844,Andreas,Säkki,,SWE,Production,7.48,24.4,20.11,-35.92,6,12.66
2437,169,Pontus,Corax,poppowisch,SWE,Pistol Caliber Carbine,7.48,26.98,23.17,-42.54,4,12.2
2438,170,Lars,Kilen,smen,SWE,Pistol Caliber Carbine,7.47,26.03,22.05,-40.11,3,12.19
2439,171,Christian,S,svartenstedt,SWE,Pistol Caliber Carbine,7.47,25.6,21.53,-39.01,4,12.19
2440,495,Magnus,Flodström,,SWE,Standard,7.46,24.31,20.02,-35.74,13,16.34
2441,496,Karl,Friberg,,SWE,Standard,7.46,24.5,20.25,-36.25,12,16.33
2442,529,Ola,Wik,,SWE,Production Optics,7.45,25.25,21.15,-38.19,6,10.16
2443,497,Erik,Jerilgård,,SWE,Standard,7.44,24.79,20.61,-37.05,7,16.29
2444,845,Björn,Sjöberg,bjorns,SWE,Production,7.44,25.06,20.94,-37.76,9,12.59
2445,300,Peter,Eliasson,petereliasson,SWE,Open,7.41,28.45,25.01,-46.57,3,8.57
2446,82,Alexander,Bäckman,alxbeckman,SWE,Classic,7.4,23.42,19.04,-33.69,8,25.03
2447,846,Robert,Hult,,SWE,Production,7.4,23.07,18.62,-32.78,9,12.53
2448,83,Fredrik,Klys,klys,SWE,Classic,7.4,25.57,21.59,-39.21,12,25.02
2449,172,Eric,Stenberg,,SWE,Pistol Caliber Carbine,7.4,26.45,22.64,-41.47,3,12.07
2450,847,Samuel,Sjöberg,,SWE,Production,7.4,23.51,19.14,-33.92,8,12.52
2451,848,Victor,Hahn,arza,SWE,Production,7.39,19.87,14.83,-24.61,20,12.52
2452,498,Markus,Gimbergsson,gimbo,SWE,Standard,7.39,24.29,20.08,-35.94,7,16.18
2453,499,Fredrik,Lindén,tacbeardedman,SWE,Standard,7.39,29.89,26.73,-50.31,3,16.18
2454,500,Fredrik,Vasara-Ekstrom,,SWE,Standard,7.39,24.57,20.41,-36.67,8,16.18
2455,501,Marcus,Rosengren,mediocre,SWE,Standard,7.38,19.86,14.82,-24.61,20,16.16
2456,530,Carl-Filip,Björk,kalle,SWE,Production Optics,7.38,23.8,19.5,-34.72,7,10.07
2457,531,Ilija,ROSIC,iros70,SWE,Production Optics,7.38,23.19,18.79,-33.19,9,10.06
2458,173,Robert,Gunnarsson,rollo,SWE,Pistol Caliber Carbine,7.38,26.3,22.48,-41.16,4,12.03
2459,301,Peter,Af Geijerstam,p4fg,SWE,Open,7.37,26.51,22.75,-41.73,4,8.52
2460,532,Patrik,Eklöf,,SWE,Production Optics,7.36,24.61,20.49,-36.87,5,10.04
2461,174,Jonas,Renström,jonas,SWE,Pistol Caliber Carbine,7.36,28.65,25.3,-47.23,2,12.01
2462,849,Karin,Wiklund,,SWE,Production,7.36,22.06,17.46,-30.32,17,12.46
2463,533,Weine,Samuelsson,wesa,SWE,Production Optics,7.36,26.2,22.38,-40.95,5,10.04
2464,850,Ida,Sturk,,SWE,Production,7.36,23.05,18.65,-32.89,10,12.46
2465,175,Jonny,Gustafsson,sharkbait,SWE,Pistol Caliber Carbine,7.36,26.56,22.81,-41.88,4,12.0
2466,534,Per,Olsson,,SWE,Production Optics,7.36,23.89,19.65,-35.06,6,10.03
2467,502,Nicklas,Olausson,,SWE,Standard,7.35,27.04,23.39,-43.12,4,16.1
2468,851,Anders,Åkesson,brian72,SWE,Production,7.35,21.03,16.26,-27.75,14,12.44
2469,535,Mattias,T,underlord,SWE,Production Optics,7.34,24.19,20.02,-35.87,6,10.02
2470,536,Niklas,Holmlund,,SWE,Production Optics,7.34,25.76,21.89,-39.91,5,10.01
2471,852,Robin,Danielsson,,SWE,Production,7.33,25.2,21.23,-38.49,7,12.42
2472,853,Tobias,Wolfram,wolf93,SWE,Production,7.33,22.6,18.13,-31.81,10,12.42
2473,537,Andreas,Norberg,pyro,SWE,Production Optics,7.33,25.17,21.2,-38.42,5,10.0
2474,538,Christer,Gerhardsson,,SWE,Production Optics,7.32,24.73,20.68,-37.32,7,9.99
2475,854,Elias,Resenberg,,SWE,Production,7.32,23.0,18.62,-32.88,8,12.39
2476,176,Johan,Wahlberg,,SWE,Pistol Caliber Carbine,7.32,24.84,20.82,-37.61,5,11.94
2477,503,Rickard,Rosengren,,SWE,Standard,7.31,22.68,18.26,-32.1,9,16.01
2478,504,Martin,Persson,,SWE,Standard,7.31,24.38,20.28,-36.47,7,16.0
2479,177,Johan,W,,SWE,Pistol Caliber Carbine,7.31,27.36,23.83,-44.14,3,11.92
2480,855,Sim,Jon,,SWE,Production,7.3,24.55,20.5,-36.95,7,12.35
2481,84,Lars,Lindstedt,limpan,SWE,Classic,7.3,25.5,21.63,-39.39,5,24.68
2482,856,Patrik,Wahren,wahren,SWE,Production,7.3,24.32,20.23,-36.37,6,12.35
2483,857,Mats,Ekeberg,,SWE,Production,7.3,23.56,19.32,-34.41,15,12.35
2484,858,Johan,Andersson,dykarjohan,SWE,Production,7.29,24.3,20.2,-36.31,8,12.35
2485,539,Oskar,Snu,elvino,SWE,Production Optics,7.29,26.19,22.46,-41.18,3,9.94
2486,859,Niklas,Alkevik,,SWE,Production,7.29,24.49,20.44,-36.83,10,12.34
2487,178,Martin,Bergman,mmaartin,SWE,Pistol Caliber Carbine,7.29,26.61,22.95,-42.25,3,11.89
2488,540,Henrik,Vierula,brodhir,SWE,Production Optics,7.29,25.45,21.58,-39.29,5,9.94
2489,860,Bengt-Ole,Hamilton,freixenet,SWE,Production,7.28,21.87,17.34,-30.14,15,12.33
2490,505,Patrik,Eklöf,,SWE,Standard,7.27,22.48,18.07,-31.73,8,15.92
2491,861,Martin,Smedå,,SWE,Production,7.26,22.1,17.63,-30.78,11,12.3
2492,862,Bengt,Siverling,,SWE,Production,7.26,18.82,13.73,-22.38,28,12.29
2493,863,Marcus,Östling,,SWE,Production,7.26,24.52,20.51,-37.01,10,12.29
2494,541,Erik,Källman,thepolis,SWE,Production Optics,7.25,25.59,21.79,-39.78,5,9.88
2495,864,Ulf,Möller,,SWE,Production,7.24,23.93,19.83,-35.56,8,12.26
2496,179,Jonas,R Sthlm,,SWE,Pistol Caliber Carbine,7.24,25.34,21.51,-39.19,6,11.81
2497,865,Ellis,Tica,tank,SWE,Production,7.24,24.04,19.97,-35.86,7,12.25
2498,302,Robin,Östman,wox,SWE,Open,7.23,29.94,26.99,-51.03,2,8.36
2499,542,Nicklas,Nordlund,nordlund,SWE,Production Optics,7.22,22.36,17.99,-31.61,11,9.85
2500,506,Peder,Lundkvist,pioneer,SWE,Standard,7.22,26.47,22.88,-42.18,6,15.8
2501,866,Sören,Gustavsson,,SWE,Production,7.22,20.86,16.22,-27.79,14,12.22
2502,867,Anel,Muhic,anel,SWE,Production,7.21,23.3,19.11,-34.03,8,12.21
2503,543,Filip,Östman,,SWE,Production Optics,7.21,24.79,20.88,-37.86,5,9.84
2504,544,Martin,Pärnaste,scottglenn,SWE,Production Optics,7.21,24.26,20.25,-36.51,6,9.83
2505,868,Mikael,Schelén,stmichael,SWE,Production,7.21,23.86,19.79,-35.51,17,12.2
2506,545,Robin,Gustafsson,,SWE,Production Optics,7.19,24.25,20.26,-36.54,6,9.81
2507,869,Linus,Waara,waara,SWE,Production,7.19,24.62,20.7,-37.49,7,12.18
2508,870,Erika,Quist,,SWE,Production,7.19,17.84,12.65,-20.12,29,12.17
2509,303,Björn,Sjöberg,bjorns,SWE,Open,7.19,25.26,21.47,-39.15,7,8.32
2510,304,Adam,Odgaard-Nexe,nexus,SWE,Open,7.19,31.83,29.28,-56.01,2,8.31
2511,305,Robert,Pettersson,,SWE,Open,7.19,22.56,18.27,-32.24,10,8.31
2512,871,Adam,L,,SWE,Production,7.19,21.66,17.2,-29.94,12,12.17
2513,546,Tobias,Sandell,tos,SWE,Production Optics,7.18,23.87,19.82,-35.6,6,9.8
2514,85,Magnus,Lindblå,blueman,SWE,Classic,7.18,24.45,20.51,-37.1,12,24.29
2515,547,Sandra,Börjesson,,SWE,Production Optics,7.18,24.62,20.72,-37.55,8,9.79
2516,548,Claes,Abrahamsson,,SWE,Production Optics,7.18,23.56,19.47,-34.85,8,9.79
2517,549,Fredrik,Jönsson,angryman,SWE,Production Optics,7.18,24.15,20.16,-36.35,6,9.78
2518,872,Peter,Lundqvist,lunkan,SWE,Production,7.17,25.09,21.3,-38.79,7,12.14
2519,873,Azir,Butt,azir,SWE,Production,7.17,23.57,19.49,-34.89,13,12.13
2520,306,Daniel,Hokkanen,setharakthe,SWE,Open,7.16,25.29,21.53,-39.32,5,8.28
2521,874,Sandra,Lindblom,,SWE,Production,7.16,21.06,16.52,-28.5,16,12.12
2522,507,Daniel,Persson,,SWE,Standard,7.16,22.77,18.55,-32.89,9,15.67
2523,875,Björn,Dahlberg,bamse72,SWE,Production,7.16,23.52,19.44,-34.81,7,12.12
2524,876,Olle,Lindkvist,,SWE,Production,7.15,24.24,20.3,-36.67,7,12.11
2525,508,Stefan,Johannesson,st3f4n,SWE,Standard,7.15,27.76,24.49,-45.7,4,15.66
2526,877,Fredrik,Asklund,,SWE,Production,7.14,25.49,21.8,-39.9,6,12.1
2527,180,Patrik,Danielsson,,SWE,Pistol Caliber Carbine,7.14,25.75,22.11,-40.57,4,11.65
2528,509,Greger,Siika,manwithnoname,SWE,Standard,7.14,24.45,20.57,-37.25,8,15.64
2529,307,Mats,Karlsson,yaps,SWE,Open,7.14,26.82,23.38,-43.33,6,8.26
2530,878,Michael,Roos,mike2alfa,SWE,Production,7.14,24.57,20.72,-37.58,7,12.08
2531,879,Jari,Miettinen,jamin,SWE,Production,7.13,23.61,19.57,-35.11,8,12.08
2532,880,Terry,L,wei,SWE,Production,7.13,25.55,21.88,-40.1,5,12.08
2533,86,Rickard,Andersson,lite,SWE,Classic,7.13,21.4,16.96,-29.47,15,24.11
2534,510,David,Carlgren,davcar,SWE,Standard,7.13,29.02,26.01,-49.02,3,15.61
2535,881,Tobias,Duse,eagel,SWE,Production,7.12,24.02,20.08,-36.21,8,12.06
2536,550,Martin,S,,SWE,Production Optics,7.12,23.68,19.67,-35.34,8,9.71
2537,23,Kent,Kumpula,kentk,SWE,Revolver,7.12,24.72,20.91,-38.0,7,37.8
2538,181,Filip,Jakobsson,,SWE,Pistol Caliber Carbine,7.12,28.84,25.81,-48.59,2,11.61
2539,511,Roberth,Friberg,fribbe,SWE,Standard,7.12,28.4,25.29,-47.46,3,15.58
2540,882,Oscar,Lindqvist,dumle,SWE,Production,7.11,24.85,21.08,-38.39,10,12.04
2541,182,Christian,Ohlsson,kotte,SWE,Pistol Caliber Carbine,7.11,28.03,24.85,-46.53,2,11.6
2542,883,Jörgen,Karlfors,xfive,SWE,Production,7.11,24.89,21.14,-38.52,8,12.03
2543,884,Per-Anders,Örnehult,paole,SWE,Production,7.1,24.01,20.09,-36.26,10,12.03
2544,885,Erik,Jerilgård,,SWE,Production,7.1,24.61,20.8,-37.79,6,12.02
2545,551,Olof,Sjoden,olof,SWE,Production Optics,7.1,24.49,20.66,-37.5,7,9.68
2546,308,Alexander,Sjöberg,grimner,SWE,Open,7.1,25.28,21.61,-39.54,6,8.21
2547,309,Stefan,Eriksson,ster,SWE,Open,7.1,27.26,23.96,-44.62,5,8.21
2548,24,Rikard,Höijertz,formsvag,SWE,Revolver,7.09,22.98,18.88,-33.66,13,37.64
2549,512,Linus,Wolter,linusw,SWE,Standard,7.09,24.9,21.17,-38.59,5,15.53
2550,87,Weine,Samuelsson,wesa,SWE,Classic,7.09,24.9,21.17,-38.6,13,23.97
2551,310,Stefan,Siverud,stefans,SWE,Open,7.08,23.57,19.59,-35.19,7,8.19
2552,886,Marcus,Frisk,gunandrun,SWE,Production,7.08,25.11,21.43,-39.16,5,11.99
2553,311,Anders,Rothman,rothman,SWE,Open,7.07,21.43,17.06,-29.75,18,8.18
2554,513,Johan,Åström,a5trom,SWE,Standard,7.07,36.11,34.5,-67.39,1,15.48
2555,887,Jovencio III,Mayor,,SWE,Production,7.07,25.06,21.38,-39.06,6,11.97
2556,888,Carolina,Nordin,,SWE,Production,7.07,24.68,20.92,-38.08,9,11.97
2557,889,Torbjörn,Ytterholm,,SWE,Production,7.07,23.6,19.64,-35.33,8,11.96
2558,552,Mats,V,wibbe,SWE,Production Optics,7.06,24.89,21.18,-38.65,5,9.63
2559,890,martin,gunnarsson,pontiac,SWE,Production,7.06,23.78,19.86,-35.81,20,11.96
2560,891,Johan,P,cephyr,SWE,Production,7.06,22.3,18.11,-32.03,8,11.95
2561,514,Adam,Press,goodguy,SWE,Standard,7.06,23.15,19.12,-34.22,12,15.45
2562,892,Daniel,Fili,,SWE,Production,7.06,24.85,21.14,-38.57,6,11.95
2563,893,Lars,Olsson,,SWE,Production,7.05,21.63,17.32,-30.34,13,11.94
2564,515,alexander,ellstrom,,SWE,Standard,7.05,22.53,18.39,-32.65,19,15.43
2565,516,Mikael,Andersson,,SWE,Standard,7.05,23.51,19.56,-35.17,9,15.43
2566,894,Örjan,Lundberg,iceman74,SWE,Production,7.05,23.91,20.03,-36.19,12,11.93
2567,895,Henrik,Blondell,,SWE,Production,7.05,24.95,21.27,-38.86,7,11.93
2568,896,Carl-Johan,E,,SWE,Production,7.05,25.17,21.53,-39.43,5,11.93
2569,517,Martin,Karlsson,theprincess,SWE,Standard,7.04,19.64,14.96,-25.26,19,15.42
2570,25,Andre,Lestander,rookie,SWE,Revolver,7.03,24.88,21.21,-38.74,8,37.33
2571,897,Filip,Östman,,SWE,Production,7.03,22.72,18.64,-33.2,11,11.9
2572,553,Peter,Eliasson,petereliasson,SWE,Production Optics,7.03,25.83,22.34,-41.18,3,9.58
2573,898,Michael,Larsson,esko,SWE,Production,7.03,27.03,23.77,-44.28,3,11.9
2574,899,Johan,Reispass,rejjan,SWE,Production,7.02,31.59,29.19,-55.99,1,11.88
2575,312,Andre,du Toit,andredutoit,SWE,Open,7.02,27.59,24.44,-45.73,3,8.12
2576,518,Ulrik,Andersson,karl99,SWE,Standard,7.01,23.72,19.85,-35.83,9,15.35
2577,519,Kjell-Åke,Jansson,blondie,SWE,Standard,7.01,23.4,19.48,-35.04,12,15.35
2578,520,Jan,Schröder,schrodersig,SWE,Standard,7.01,24.65,20.96,-38.23,8,15.34
2579,554,Peter,Bergström,,SWE,Production Optics,7.01,24.56,20.86,-38.01,6,9.56
2580,183,Matts,Lindberg,,SWE,Pistol Caliber Carbine,7.01,25.41,21.86,-40.19,4,11.43
2581,900,Peter,Burnert,peter1500,SWE,Production,7.01,25.94,22.49,-41.54,9,11.86
2582,521,Andreas,Eklöf,,SWE,Standard,7.01,22.33,18.21,-32.29,10,15.34
2583,522,Henrik,Forsling,,SWE,Standard,6.99,23.52,19.64,-35.4,11,15.31
2584,26,Victor,Svensson,sheriffen,SWE,Revolver,6.99,25.04,21.45,-39.32,8,37.09
2585,901,Filip,Åhrberg,,SWE,Production,6.99,24.6,20.93,-38.18,9,11.83
